"Party","District","Member","Counties Represented"
"R","28","Larry C. Strickland","Harnett,                         Johnston"
"R","45","John Szoka","Cumberland"
"D","71","Evelyn Terry","Forsyth"
"R","108","John A. Torbett","Gaston"
"D","116","Brian Turner","Buncombe"
"R","3","Steve Tyson","Craven"
"D","36","Julie von Haefen","Wake"
"R","76","Harry Warren","Rowan"
"R","80","Sam Watford","Davidson"
"R","43","Diane Wheatley","Cumberland"
"R","26","Donna McDowell White","Johnston"
"D","23","Shelly Willingham","Edgecombe,                         Martin"
"R","68","David Willis","Union"
"R","7","Matthew Winslow","Franklin,                         Nash"
"D","27","Michael H. Wray","Halifax,                         Northampton"
"R","2","Larry Yarborough","Granville,                         Person"
"R","73","Lee Zachary","Forsyth,                         Yadkin"
"R","74","Jeff Zenger","Forsyth"
